"text";"mark";"id"
"Скисание молока в тёплой комнате ";"1";"5425013"
"Появление радуги после дождя. из за озона с запахом свежести и дождя образуется радуга ";"0";"5425014"
"Химическим процессом является скисание молока так как , к химическим процессам относятся необратимые.";"1";"5425015"
"Химическим явлением является скисание молока в теплой воде ";"1";"5425016"
"скисание молока в тёплой комнате. по тому что под воздействием температуры и кислорода молоко скисает.";"1";"5425017"
"Скисание молока в теплой комнате так как температура действует на молекулы молока из за чего оно начинает скисать и происходит химическое явление.";"1";"5425018"
"Скисание молока в теплой комнате.Благодаря температуре  происходит реакция.Появление радуги это физическое явление";"1";"5425019"
"Скисание молока в темной комнате. Вещество меняет цвет и имеет осадок. Также появился кислый запах.";"1";"5425020"
"Скисание молока в тёплой комнате. Потому что окисление-процесс химический, т.к при нём изменяются свойства вещества. У молока поменялся запах, вкус.";"1";"5425021"
"Скисание молока в тёплой комнате
При скисании молоко меняется химически";"1";"5425022"
"Окисление молока в теплой комнате т.к. молоко образует своеобразный осадок,а это признак химического явления.";"1";"5425023"
"Скисание молока в тёплой комнате, так как появляется характерный запах, изменяется вкус и меняется вещество";"2";"5425024"
"Скисание молока, потому что при скисании появляется запах. изменяется консистенция молока.";"1";"5425025"
"скисание молока в теплой комнате , потому что другие явления химические ";"1";"5425026"
"Скисание молока в теплой комнате, т.к. тут происходят процессы с изменением клеток в-ва.";"1";"5425027"
"скисание молока поскольку температура влияет на жидкость";"1";"5425028"
"Скисание молока в тёплой комнате является химическим явлением, потому что молоко меняет не только своё агрегатное состояние, но и запах.";"1";"5425029"
"Химическим явлением является скисание молока . Потому что молоко портится при комнатной температуре ";"1";"5425030"
"Скисание молока является химическим явлением, так как оно меняет своё агрегатное состояние, запах и цвет";"1";"5425031"
"Скисание молока-это химические процесс, так как скисание происходит с помощью органических веществ и сопровождается выделением запаха.";"1";"5425032"
"Химическим ответом будет являться ""Скисание молока в тёплой комнате"" , так как:
1.Два первых из приведённых явлений являются физическими - создают энергию благодаря сгоранию топлива (автомобиль) и нагревания до температуры плавления (излучения света металлом из-за нагревания и последовательного плавления)
2.Вариант ""Появление радуги после дождя"" является природным явлением , но возможно в нём происходят какие то и физические , и химические процессы.
3.Скисание молока происходит благодаря химическим реакциям - из-за воздуха в комнате но и немного из-за температуры.";"1";"5425033"
"Скисание молока в теплой комнате , потому что все остальные процессы являются физическими .";"1";"5425034"
"Изучение света раскаленным металлом";"0";"5425035"
"Скисание молока в теплой комнате или излучение света раскаленным металлом .";"0";"5425036"
"Излучение света раскалённым металлом.Идёт выделение света и тепла.";"0";"5425037"
"скисание молока в теплой комнате, т.к тепло попало в молоко и пошло выделение газа ";"1";"5425038"
"химическим явлением является излучение света раскаленным металлом.так как излучается свет и выделяется энергия(тепло),а это относится к химическим явлениям.";"0";"5425039"
"Скисание молока в теплой комнате т.к происходит окисление ";"2";"5425040"
"скисание молока в тёплой комнате";"1";"5425041"
"Скисание молока тк происходит процесс окисления";"2";"5425042"
"скисание молока в тёплой комнате";"1";"5425043"
"--- нет ответа ---";"-1";"5425044"
"скисание молока в тёплой комнате, так как при комнатной температуре образуются бактерии благодаря которым молоко и скисает. ";"1";"5425045"
"скисание молока в теплой комнате";"1";"5425046"
"Скисание молока в банке, так как скисание-это процесс брожения,а брожение процесс получения энергии,а процесс получения  энергии  происходит только при хим реакции, так же процесс брожения это изменение мал. состава среды, в данном случае молока ";"1";"5425047"
"Излучение света раскалённым металом";"0";"5425048"
"скисание молока в тёплой комнате потому что происходит разное отношение температур. например для молоко нужна температура -10 но когда температура становится +10 начинает окисление продукта. из за чего бактерии молока умирают и молоко окисляется ";"1";"5425049"
"скисание молока в теплой комнате, так как при этом процессе меняестся молекулярный состав вещества";"0";"5425050"
"скисание молока в теплой комнате так как в остальных явлениях требуется физическое явление";"1";"5425051"
"Скисание молока в теплой комнате, так как появляется запах, изменяется цвет ";"1";"5425052"
"Скисание молока-это химическое явление так как изменяется состав молекул";"2";"5425053"
"скисание молока потому что оно теряет в тепле свои вещества ";"1";"5425054"
"скисание молока в теплой комнате";"1";"5425055"
"Излучение света раскалённым металлом
Так как не меняется состав молекул";"0";"5425056"
"Скисание молока в тёплой комнате.";"1";"5425057"
"Скисание молока в тёплой комнате, так как происходит превращение одного вещества в другое, так же появляется запах- признак химической реакции.";"2";"5425058"
"Скисание молока в теплой комнате. При химическом явление происходит превращение одного вещества в другое.";"2";"5425059"
"излучения света раскалённым металлом
нагревание металла";"0";"5425060"
"Скисание молока в теплой комнате является химическим явлением т.к. происходит превращения одного вещества в другое.";"2";"5425061"
"Химическим явлениям является скисание молока в теплой комнате, потому что во время скисание образуется два других вещества.";"2";"5425062"
"Скисание молока , потому что одно вещество переходит в другое";"2";"5425063"
"Скисание молока в тёплой комнате это химическое явление, так как оно изменяется под действием бактерий.";"1";"5425064"
"скисание молока в тёплой комнате 
поскольку изменяется не форма а строение вещества ";"1";"5425065"
"скисание молока в теплой комнате ";"1";"5425066"
"Скисание молока в теплой комнате, потому что начинает выделяться запах и становиться другого цвета.";"1";"5425067"
"химическим явлением является скисание молока в теплой комнате, потому что образовывается новое вещество, а агрегатное состояние не меняется.";"2";"5425068"
"--- нет ответа ---";"-1";"5425069"
"Скисание молока в теплой комнате";"1";"5425070"
"Скисание молока в теплой комнате.
Молоко становится густым ";"1";"5425071"
"Скисание молока в тёплой комнате. Потому что при тёплой температуры в молоке погибает полезные вещество, то в молоке виды изменённые в кислую молочную продукту. ";"1";"5425072"
"из представленных является химическим явлением картинка 3 , так как скисание молока в теплой  комнате это химическое явление , оно окисляется ";"2";"5425073"
"Скисание молока в теплой воде, так как происходит химическая реакция при взаимодействии с тепловой энергией.";"1";"5425074"
"";"-1";"5425075"
"Излучение света раскалённым металлом, потому-что металл нагревается до определённой температуры, из за которой он начинает излучать свет.";"0";"5425076"
"Скисание молока в теплой комнате является химическим явлением.";"1";"5425077"
"это скисание молока в теплой комнате. потому что молоко окисляется происходит химический процесс скисания. ";"1";"5425078"
"Скисание молока в теплой комнате является химическим, потому что этот процесс разглядывается только 
 в химической науке";"1";"5425079"
"химическим явлением является скисание молока в теплой комнате, т.к. этот процесс сопровождается изменением химического состава молока.";"1";"5425080"
"скисание молока в теплой комнате";"1";"5425081"
"Скисание молока в тёплой комнате - это химическое явление, так как оно происходит под воздействием внешней среды(Тёплая комната) и в результате этого процесса молекулы молока смешиваются с молекулами бактерий";"1";"5425082"
"химическим явлением является скисание молока в теплой комнате. ";"1";"5425083"
"Скисание молока в теплой комнате, т.к. это химический процесс -- окисления, реакция взаимодействия молока с кислородом. ";"2";"5425084"
"движение автомобиля по закруглённой дороге, потому что в остальных явлениях образуется новое вещество";"0";"5425085"
"Скисание молока в тёплой комнате является химическим явлением,так как элементы содержащиеся в молоке взаимодействуют между собой под влиянием температуры";"1";"5425086"
"Скисание молока. т.к. из одного вещества получается другое";"2";"5425087"
"Скисание молока в тёплой комнате. Под действием температуры химические вещества начинают бродить, это взаимодействие компонентов и вызывает, такую химическую реакцию. ";"1";"5425088"
"Скисание молока в тёплой комнате.";"1";"5425089"
"Скисание молока в тёплой комнате, т.к. вещества молока не могут храниться долго в плюсовой температуре, и из-за этого, происходит скисание. ";"1";"5425090"
"Химическим явлением  является скисание молока в теплой комнате. Так как молоко - это молочный продукт,
который под воздействием теплых температур начинает портиться.";"1";"5425091"
"--- нет ответа ---";"-1";"5425092"
"Скисание молока,потому что при теплой температуре молекулы молоко окисляются и оно скисает ";"2";"5425093"
"скисание молока";"1";"5425094"
